Hour:min:sec.msec,Value
11:29:43.352,2591.20
11:29:43.431,2591.20
11:29:43.491,2591.20
11:29:43.632,2591.20
11:29:43.712,2624.00
11:29:43.852,2624.00
11:29:43.911,2624.00
11:29:44.052,2624.00
11:29:44.151,2624.00
11:29:44.192,2624.00
11:29:44.331,2624.00
11:29:44.418,2624.00
11:29:44.558,2591.20
11:29:44.611,2591.20
11:29:44.752,2624.00
11:29:44.838,2624.00
11:29:44.899,2624.00
11:29:45.039,2624.00
11:29:45.111,2624.00
11:29:45.251,2624.00
11:29:45.312,2624.00
11:29:45.391,2624.00
11:29:45.552,2624.00
11:29:45.592,2624.00
11:29:45.738,2624.00
11:29:45.806,2624.00
11:29:45.958,2624.00
11:29:46.019,2624.00
11:29:46.151,2624.00
11:29:46.231,2624.00
11:29:46.291,2624.00
11:29:46.439,2624.00
11:29:46.513,2624.00
11:29:46.570,2624.00
11:29:46.711,2624.00
11:29:46.851,2624.00
11:29:46.932,2624.00
11:29:46.991,2624.00
11:29:47.151,2624.00
11:29:47.211,2624.00
11:29:47.352,2624.00
11:29:47.411,2624.00
11:29:47.551,2624.00
11:29:47.631,2624.00
11:29:47.692,2624.00
11:29:47.838,2624.00
11:29:47.911,2591.20
11:29:48.052,2591.20
11:29:48.110,2591.20
11:29:48.252,2591.20
11:29:48.352,2624.00
11:29:48.392,2624.00
11:29:48.531,2624.00
11:29:48.619,2624.00
11:29:48.751,2591.20
11:29:48.838,2591.20
11:29:48.958,2591.20
11:29:49.038,2591.20
11:29:49.098,2591.20
11:29:49.238,2558.40
11:29:49.311,2558.40
11:29:49.451,2558.40
11:29:49.511,2558.40
11:29:49.658,2558.40
11:29:49.738,2558.40
11:29:49.791,2591.20
11:29:49.932,2591.20
11:29:50.032,2591.20
11:29:50.151,2591.20
11:29:50.211,2591.20
11:29:50.352,2591.20
11:29:50.439,2591.20
11:29:50.511,2591.20
11:29:50.631,2591.20
11:29:50.712,2591.20
11:29:50.851,2591.20
11:29:50.918,2591.20
11:29:51.051,2591.20
11:29:51.151,2591.20
11:29:51.198,2591.20
11:29:51.359,2591.20
11:29:51.411,2591.20
11:29:51.552,2591.20
11:29:51.611,2591.20
11:29:51.751,2591.20
11:29:51.828,2591.20
11:29:51.892,2591.20
11:29:52.031,2591.20
11:29:52.110,2591.20
11:29:52.251,2591.20
11:29:52.312,2558.40
11:29:52.451,2558.40
11:29:52.559,2591.20
11:29:52.591,2591.20
11:29:52.732,2591.20
11:29:52.827,2591.20
11:29:52.951,2591.20
11:29:53.012,2591.20
11:29:53.151,2591.20
11:29:53.238,2591.20
11:29:53.291,2591.20
11:29:53.451,2591.20
11:29:53.511,2591.20
11:29:53.651,2591.20
11:29:53.712,2591.20
11:29:53.791,2591.20
11:29:53.938,2591.20
11:29:53.991,2558.40
11:29:54.139,2558.40
11:29:54.218,2591.20
11:29:54.351,2591.20
11:29:54.411,2558.40
11:29:54.552,2558.40
11:29:54.638,2558.40
11:29:54.712,2558.40
11:29:54.838,2558.40
11:29:54.918,2558.40
11:29:54.979,2558.40
11:29:55.111,2558.40
11:29:55.251,2558.40
11:29:55.331,2558.40
11:29:55.391,2558.40
11:29:55.552,2591.20
11:29:55.611,2591.20
11:29:55.751,2591.20
11:29:55.818,2591.20
11:29:55.951,2591.20
11:29:56.031,2591.20
11:29:56.090,2591.20
